股票代號,股票名稱,持有股數,Date
3017,奇鋐,499361,2026-01-05
2330,台積電,1000000,2026-01-05
6669,緯穎,200165,2026-01-05
MU US,MICRON TECHNOLOGY INC,"58,000",2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,"45,000",2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),"52,000",2026-01-05
AVGO US,BROADCOM LTD,"40,000",2026-01-05
NVDA US,NVIDIA CORP(輝達公司),"72,000",2026-01-05
ENR GY,SIEMENS ENERGY AG,"64,000",2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,"105,000",2026-01-05
3017,奇鋐,"185,000",2026-01-05
RHM GY,RHEINMETALL AG,"4,450",2026-01-05
2330,台積電,"165,000",2026-01-05
HOT GY,HOCHTIEF AG,"20,000",2026-01-05
CIEN US,CIENA CORP,"32,000",2026-01-05
2308,台達電,"240,000",2026-01-05
GEV US,GE VERNOVA INC,"11,000",2026-01-05
SNDK US,SANDISK CORP,"26,000",2026-01-05
3665,貿聯-KY,"145,000",2026-01-05
CCJ US,CAMECO CORP,"66,000",2026-01-05
TER US,TERADYNE INC,"31,000",2026-01-05
6857 JP,ADVANTEST CORP,"50,000",2026-01-05
WDC US,WESTERN DIGITAL CORP,"33,000",2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,"54,000",2026-01-05
2383,台光電,"115,000",2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,"70,000",2026-01-05
7769,鴻勁,"50,000",2026-01-05
COHR US,COHERENT INC,"27,000",2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,"320,000",2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,"30,000",2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,"38,000",2026-01-05
2368,金像電,"200,000",2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,"32,000",2026-01-05
BE US,BLOOM ENERGY CORP- A,"36,000",2026-01-05
4062 JP,IBIDEN CO LTD,"80,000",2026-01-05
3715,定穎投控,"833,938",2026-01-05
KLAC US,KLA CORP,"2,500",2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,"50,000",2026-01-05
LGN US,LEGENCE CORP-CL A,"60,500",2026-01-05
8210,勤誠,"81,000",2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,"60,000",2026-01-05
SAF FP,SAFRAN SA,"6,600",2026-01-05
ENS US,ENERSYS,"15,000",2026-01-05
6954 JP,Fanuc LTD,"57,500",2026-01-05
CLS US,CELESTICA INC,"6,500",2026-01-05
SOLS US,SOLSTICE ADV MATERIALS INC,"30,000",2026-01-05
6525 JP,KOKUSAI ELECTRIC CORP,"40,000",2026-01-05
6869 HK,YANGTZE OPTICAL FIBRE AND-H,"200,000",2026-01-05
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,"7,500",2026-01-05
MP US,MP MATERIALS CORP,"10,000",2026-01-05
LEU US,CENTRUS ENERGY CORP-CLASS A,"1,500",2026-01-05
MU US,MICRON TECHNOLOGY INC,58000,2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,45000,2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),52000,2026-01-05
AVGO US,BROADCOM LTD,40000,2026-01-05
NVDA US,NVIDIA CORP(輝達公司),72000,2026-01-05
ENR GY,SIEMENS ENERGY AG,64000,2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,105000,2026-01-05
3017,奇鋐,185000,2026-01-05
RHM GY,RHEINMETALL AG,4450,2026-01-05
2330,台積電,165000,2026-01-05
HOT GY,HOCHTIEF AG,20000,2026-01-05
CIEN US,CIENA CORP,32000,2026-01-05
2308,台達電,240000,2026-01-05
GEV US,GE VERNOVA INC,11000,2026-01-05
SNDK US,SANDISK CORP,26000,2026-01-05
3665,貿聯-KY,145000,2026-01-05
CCJ US,CAMECO CORP,66000,2026-01-05
TER US,TERADYNE INC,31000,2026-01-05
6857 JP,ADVANTEST CORP,50000,2026-01-05
WDC US,WESTERN DIGITAL CORP,33000,2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,54000,2026-01-05
2383,台光電,115000,2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,70000,2026-01-05
7769,鴻勁,50000,2026-01-05
COHR US,COHERENT INC,27000,2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,320000,2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,30000,2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,38000,2026-01-05
2368,金像電,200000,2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,32000,2026-01-05
BE US,BLOOM ENERGY CORP- A,36000,2026-01-05
4062 JP,IBIDEN CO LTD,80000,2026-01-05
3715,定穎投控,833938,2026-01-05
KLAC US,KLA CORP,2500,2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,50000,2026-01-05
LGN US,LEGENCE CORP-CL A,60500,2026-01-05
8210,勤誠,81000,2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,60000,2026-01-05
SAF FP,SAFRAN SA,6600,2026-01-05
ENS US,ENERSYS,15000,2026-01-05
6954 JP,Fanuc LTD,57500,2026-01-05
CLS US,CELESTICA INC,6500,2026-01-05
SOLS US,SOLSTICE ADV MATERIALS INC,30000,2026-01-05
6525 JP,KOKUSAI ELECTRIC CORP,40000,2026-01-05
6869 HK,YANGTZE OPTICAL FIBRE AND-H,200000,2026-01-05
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,7500,2026-01-05
MP US,MP MATERIALS CORP,10000,2026-01-05
LEU US,CENTRUS ENERGY CORP-CLASS A,1500,2026-01-05
MU US,MICRON TECHNOLOGY INC,58000,2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,45000,2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),52000,2026-01-05
AVGO US,BROADCOM LTD,40000,2026-01-05
NVDA US,NVIDIA CORP(輝達公司),72000,2026-01-05
ENR GY,SIEMENS ENERGY AG,64000,2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,105000,2026-01-05
3017,奇鋐,185000,2026-01-05
RHM GY,RHEINMETALL AG,4450,2026-01-05
2330,台積電,165000,2026-01-05
HOT GY,HOCHTIEF AG,20000,2026-01-05
CIEN US,CIENA CORP,32000,2026-01-05
2308,台達電,240000,2026-01-05
GEV US,GE VERNOVA INC,11000,2026-01-05
SNDK US,SANDISK CORP,26000,2026-01-05
3665,貿聯-KY,145000,2026-01-05
CCJ US,CAMECO CORP,66000,2026-01-05
TER US,TERADYNE INC,31000,2026-01-05
6857 JP,ADVANTEST CORP,50000,2026-01-05
WDC US,WESTERN DIGITAL CORP,33000,2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,54000,2026-01-05
2383,台光電,115000,2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,70000,2026-01-05
7769,鴻勁,50000,2026-01-05
COHR US,COHERENT INC,27000,2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,320000,2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,30000,2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,38000,2026-01-05
2368,金像電,200000,2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,32000,2026-01-05
BE US,BLOOM ENERGY CORP- A,36000,2026-01-05
4062 JP,IBIDEN CO LTD,80000,2026-01-05
3715,定穎投控,833938,2026-01-05
KLAC US,KLA CORP,2500,2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,50000,2026-01-05
LGN US,LEGENCE CORP-CL A,60500,2026-01-05
8210,勤誠,81000,2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,60000,2026-01-05
SAF FP,SAFRAN SA,6600,2026-01-05
ENS US,ENERSYS,15000,2026-01-05
6954 JP,Fanuc LTD,57500,2026-01-05
CLS US,CELESTICA INC,6500,2026-01-05
SOLS US,SOLSTICE ADV MATERIALS INC,30000,2026-01-05
6525 JP,KOKUSAI ELECTRIC CORP,40000,2026-01-05
6869 HK,YANGTZE OPTICAL FIBRE AND-H,200000,2026-01-05
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,7500,2026-01-05
MP US,MP MATERIALS CORP,10000,2026-01-05
LEU US,CENTRUS ENERGY CORP-CLASS A,1500,2026-01-05
MU US,MICRON TECHNOLOGY INC,58000,2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,45000,2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),52000,2026-01-05
AVGO US,BROADCOM LTD,40000,2026-01-05
NVDA US,NVIDIA CORP(輝達公司),72000,2026-01-05
ENR GY,SIEMENS ENERGY AG,64000,2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,105000,2026-01-05
3017,奇鋐,185000,2026-01-05
RHM GY,RHEINMETALL AG,4450,2026-01-05
2330,台積電,165000,2026-01-05
HOT GY,HOCHTIEF AG,20000,2026-01-05
CIEN US,CIENA CORP,32000,2026-01-05
2308,台達電,240000,2026-01-05
GEV US,GE VERNOVA INC,11000,2026-01-05
SNDK US,SANDISK CORP,26000,2026-01-05
3665,貿聯-KY,145000,2026-01-05
CCJ US,CAMECO CORP,66000,2026-01-05
TER US,TERADYNE INC,31000,2026-01-05
6857 JP,ADVANTEST CORP,50000,2026-01-05
WDC US,WESTERN DIGITAL CORP,33000,2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,54000,2026-01-05
2383,台光電,115000,2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,70000,2026-01-05
7769,鴻勁,50000,2026-01-05
COHR US,COHERENT INC,27000,2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,320000,2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,30000,2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,38000,2026-01-05
2368,金像電,200000,2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,32000,2026-01-05
BE US,BLOOM ENERGY CORP- A,36000,2026-01-05
4062 JP,IBIDEN CO LTD,80000,2026-01-05
3715,定穎投控,833938,2026-01-05
KLAC US,KLA CORP,2500,2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,50000,2026-01-05
LGN US,LEGENCE CORP-CL A,60500,2026-01-05
8210,勤誠,81000,2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,60000,2026-01-05
SAF FP,SAFRAN SA,6600,2026-01-05
ENS US,ENERSYS,15000,2026-01-05
6954 JP,Fanuc LTD,57500,2026-01-05
CLS US,CELESTICA INC,6500,2026-01-05
SOLS US,SOLSTICE ADV MATERIALS INC,30000,2026-01-05
6525 JP,KOKUSAI ELECTRIC CORP,40000,2026-01-05
6869 HK,YANGTZE OPTICAL FIBRE AND-H,200000,2026-01-05
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,7500,2026-01-05
MP US,MP MATERIALS CORP,10000,2026-01-05
LEU US,CENTRUS ENERGY CORP-CLASS A,1500,2026-01-05
MU US,MICRON TECHNOLOGY INC,58000,2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,45000,2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),52000,2026-01-05
AVGO US,BROADCOM LTD,40000,2026-01-05
NVDA US,NVIDIA CORP(輝達公司),72000,2026-01-05
ENR GY,SIEMENS ENERGY AG,64000,2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,105000,2026-01-05
3017,奇鋐,185000,2026-01-05
RHM GY,RHEINMETALL AG,4450,2026-01-05
2330,台積電,165000,2026-01-05
HOT GY,HOCHTIEF AG,20000,2026-01-05
CIEN US,CIENA CORP,32000,2026-01-05
2308,台達電,240000,2026-01-05
GEV US,GE VERNOVA INC,11000,2026-01-05
SNDK US,SANDISK CORP,26000,2026-01-05
3665,貿聯-KY,145000,2026-01-05
CCJ US,CAMECO CORP,66000,2026-01-05
TER US,TERADYNE INC,31000,2026-01-05
6857 JP,ADVANTEST CORP,50000,2026-01-05
WDC US,WESTERN DIGITAL CORP,33000,2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,54000,2026-01-05
2383,台光電,115000,2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,70000,2026-01-05
7769,鴻勁,50000,2026-01-05
COHR US,COHERENT INC,27000,2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,320000,2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,30000,2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,38000,2026-01-05
2368,金像電,200000,2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,32000,2026-01-05
BE US,BLOOM ENERGY CORP- A,36000,2026-01-05
4062 JP,IBIDEN CO LTD,80000,2026-01-05
3715,定穎投控,833938,2026-01-05
KLAC US,KLA CORP,2500,2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,50000,2026-01-05
LGN US,LEGENCE CORP-CL A,60500,2026-01-05
8210,勤誠,81000,2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,60000,2026-01-05
SAF FP,SAFRAN SA,6600,2026-01-05
ENS US,ENERSYS,15000,2026-01-05
6954 JP,Fanuc LTD,57500,2026-01-05
CLS US,CELESTICA INC,6500,2026-01-05
SOLS US,SOLSTICE ADV MATERIALS INC,30000,2026-01-05
6525 JP,KOKUSAI ELECTRIC CORP,40000,2026-01-05
6869 HK,YANGTZE OPTICAL FIBRE AND-H,200000,2026-01-05
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,7500,2026-01-05
MP US,MP MATERIALS CORP,10000,2026-01-05
LEU US,CENTRUS ENERGY CORP-CLASS A,1500,2026-01-05
MU US,MICRON TECHNOLOGY INC,58000,2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,45000,2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),52000,2026-01-05
AVGO US,BROADCOM LTD,40000,2026-01-05
NVDA US,NVIDIA CORP(輝達公司),72000,2026-01-05
ENR GY,SIEMENS ENERGY AG,64000,2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,105000,2026-01-05
3017,奇鋐,185000,2026-01-05
RHM GY,RHEINMETALL AG,4450,2026-01-05
2330,台積電,165000,2026-01-05
HOT GY,HOCHTIEF AG,20000,2026-01-05
CIEN US,CIENA CORP,32000,2026-01-05
2308,台達電,240000,2026-01-05
GEV US,GE VERNOVA INC,11000,2026-01-05
SNDK US,SANDISK CORP,26000,2026-01-05
3665,貿聯-KY,145000,2026-01-05
CCJ US,CAMECO CORP,66000,2026-01-05
TER US,TERADYNE INC,31000,2026-01-05
6857 JP,ADVANTEST CORP,50000,2026-01-05
WDC US,WESTERN DIGITAL CORP,33000,2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,54000,2026-01-05
2383,台光電,115000,2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,70000,2026-01-05
7769,鴻勁,50000,2026-01-05
COHR US,COHERENT INC,27000,2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,320000,2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,30000,2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,38000,2026-01-05
2368,金像電,200000,2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,32000,2026-01-05
BE US,BLOOM ENERGY CORP- A,36000,2026-01-05
4062 JP,IBIDEN CO LTD,80000,2026-01-05
3715,定穎投控,833938,2026-01-05
KLAC US,KLA CORP,2500,2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,50000,2026-01-05
LGN US,LEGENCE CORP-CL A,60500,2026-01-05
8210,勤誠,81000,2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,60000,2026-01-05
SAF FP,SAFRAN SA,6600,2026-01-05
ENS US,ENERSYS,15000,2026-01-05
6954 JP,Fanuc LTD,57500,2026-01-05
CLS US,CELESTICA INC,6500,2026-01-05
SOLS US,SOLSTICE ADV MATERIALS INC,30000,2026-01-05
6525 JP,KOKUSAI ELECTRIC CORP,40000,2026-01-05
6869 HK,YANGTZE OPTICAL FIBRE AND-H,200000,2026-01-05
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,7500,2026-01-05
MP US,MP MATERIALS CORP,10000,2026-01-05
LEU US,CENTRUS ENERGY CORP-CLASS A,1500,2026-01-05
MU US,MICRON TECHNOLOGY INC,58000,2026-01-05
LITE US,LUMENTUM HOLDINGS INC.lite us,45000,2026-01-05
GOOGL US,ALPHABET INC-CL A(Alphabet公司),52000,2026-01-05
AVGO US,BROADCOM LTD,40000,2026-01-05
NVDA US,NVIDIA CORP(輝達公司),72000,2026-01-05
ENR GY,SIEMENS ENERGY AG,64000,2026-01-05
300308 CH,ZHONGJI INNOLIGHT CO LTD-A,105000,2026-01-05
3017,奇鋐,185000,2026-01-05
RHM GY,RHEINMETALL AG,4450,2026-01-05
2330,台積電,165000,2026-01-05
HOT GY,HOCHTIEF AG,20000,2026-01-05
CIEN US,CIENA CORP,32000,2026-01-05
2308,台達電,240000,2026-01-05
GEV US,GE VERNOVA INC,11000,2026-01-05
SNDK US,SANDISK CORP,26000,2026-01-05
3665,貿聯-KY,145000,2026-01-05
CCJ US,CAMECO CORP,66000,2026-01-05
TER US,TERADYNE INC,31000,2026-01-05
6857 JP,ADVANTEST CORP,50000,2026-01-05
WDC US,WESTERN DIGITAL CORP,33000,2026-01-05
5706 JP,Mitsui Mining ＆ Smelting Co,54000,2026-01-05
2383,台光電,115000,2026-01-05
KTOS US,KRATOS DEFENSE & SECURITY,70000,2026-01-05
7769,鴻勁,50000,2026-01-05
COHR US,COHERENT INC,27000,2026-01-05
RR/ LN,ROLLS-ROYCE HOLDINGS PLC,320000,2026-01-05
PLTR US,PALANTIR TECHNOLOGIES INC-A,30000,2026-01-05
HOOD US,ROBINHOOD MARKETS INC - A,38000,2026-01-05
2368,金像電,200000,2026-01-05
TSEM US,TOWER SEMICONDUCTOR LTD,32000,2026-01-05
BE US,BLOOM ENERGY CORP- A,36000,2026-01-05
4062 JP,IBIDEN CO LTD,80000,2026-01-05
3715,定穎投控,833938,2026-01-05
KLAC US,KLA CORP,2500,2026-01-05
5801 JP,FURUKAWA ELECTRIC CO LTD,50000,2026-01-05
LGN US,LEGENCE CORP-CL A,60500,2026-01-05
8210,勤誠,81000,2026-01-05
5802 JP,SUMITOMO ELECTRIC INDUSTRIES,60000,2026-01-05
