股票代號,股票名稱,持有股數,權重,Date
2330,台灣積體,2000000,18.422,2026-01-06
8299,群聯電子,770000,6.718,2026-01-06
6669,緯穎科技,190000,4.737,2026-01-06
7769,鴻勁精密,260000,4.579,2026-01-06
2383,台光電子,500000,4.579,2026-01-06
2408,南亞科技,3700000,4.568,2026-01-06
3665,貿聯-KY,530000,4.51,2026-01-06
2308,台達電子,750000,4.254,2026-01-06
3017,奇鋐科技,520000,4.003,2026-01-06
5274,信驊科技,100000,3.89,2026-01-06
2368,金像電子,900000,3.219,2026-01-06
2059,川湖科技,170000,2.944,2026-01-06
2345,智邦科技,420000,2.814,2026-01-06
8210,勤誠興業,520000,2.781,2026-01-06
6274,台燿科技,1000000,2.572,2026-01-06
6223,旺矽科技,200000,2.323,2026-01-06
6805,富世達股,290000,2.303,2026-01-06
6781,AES-KY,320000,2.282,2026-01-06
3653,健策精密,160000,2.282,2026-01-06
1605,華新麗華,11000000,2.142,2026-01-06
1519,華城電機,510000,2.036,2026-01-06
2404,漢唐集成,350000,1.929,2026-01-06
8358,金居開發,1200000,1.767,2026-01-06
6442,光紅建聖,230000,1.615,2026-01-06
1303,南亞塑膠,1700000,0.541,2026-01-06
2885,元大金融,2450000,0.535,2026-01-06
2882,國泰金融,1300000,0.534,2026-01-06
2891,中國信託,1960000,0.528,2026-01-06
2881,富邦金融,1000000,0.521,2026-01-06
3231,緯創資通,440000,0.367,2026-01-06
3711,日月光投,250000,0.367,2026-01-06
2449,京元電子,250000,0.361,2026-01-06
2317,鴻海精密,280000,0.357,2026-01-06
6515,穎崴科技,20000,0.338,2026-01-06
6510,中華精測,25000,0.315,2026-01-06
3324,雙鴻科技,9000,0.049,2026-01-06
1590,亞德客-KY,9000,0.047,2026-01-06
3661,世芯-KY,1000,0.02,2026-01-06
8464,億豐綜合,9000,0.018,2026-01-06
3044,健鼎科技,9000,0.015,2026-01-06
1477,聚陽實業,9000,0.014,2026-01-06
2382,廣達電腦,9000,0.014,2026-01-06
3443,創意電子,1000,0.013,2026-01-06
3037,欣興電子,9000,0.011,2026-01-06
2603,長榮海運,9000,0.009,2026-01-06
2301,光寶科技,9000,0.008,2026-01-06
2454,聯發科技,1000,0.008,2026-01-06
2645,長榮航太,9000,0.007,2026-01-06
5347,世界先進,9000,0.005,2026-01-06
3036,文曄科技,1000,0.001,2026-01-06
